"NOME_MUNICIPIO";"RENDA";"EDUCACAO";"SOBREVIVENCIA";"INFRAESTRUTURA";"Acesso a informação";"HABITACAO";"MOBILIDADE";"MIQL-M";"MIQL-T"
"Arealva";0.5346682782;0.685363371;0.9308641537;0.7269725214;0.6768901944;0.9317223977;0.876154;0.7340107066;0.7528092969
"Areias";0.5019283475;0.6971293711;0.9334033944;0.6876447696;0.6162907119;0.8562709108;0.874886;0.700859406;0.7234207913
"Areiópolis";0.5281179762;0.6907855427;0.9264167468;0.8579811273;0.643404615;0.9454802696;0.784604;0.7488861993;0.7538874219
"Ariranha";0.5417571867;0.6909621666;0.9310488387;0.8445729419;0.6829645872;0.9414604305;0.863411;0.7577247483;0.7719911902
"Artur Nogueira";0.5436535449;0.7178509632;0.9390041321;0.8165423532;0.6859312456;0.941753144;0.834298;0.7603905882;0.7705337341
"Arujá";0.525719051;0.749785336;0.93524445;0.833111028;0.707080648;0.892261756;0.75552;0.7606998287;0.7599576845
"Aspásia";0.5251536779;0.6985236975;0.928716866;0.7058314738;0.6582758453;0.9611650638;0.913781;0.730650413;0.7543722496
"Assis";0.5497611989;0.7656715781;0.9454347227;0.9033704357;0.7358269374;0.9425263211;0.876974;0.7933482483;0.8047878613
"Atibaia";0.5538030134;0.7305850436;0.9416732557;0.7559720413;0.722793824;0.9023256055;0.830677;0.7567776475;0.76691786
"Auriflama";0.5415134696;0.7409370289;0.9398624299;0.8167584513;0.6456526442;0.9438295076;0.871746;0.7566705461;0.7721294796
"Avaí";0.5168390331;0.6944854233;0.9395331081;0.6793733211;0.6602869979;0.8778384245;0.810818;0.7142732594;0.7273274214
"Avanhandava";0.5250310108;0.6929156455;0.9366594307;0.7718510065;0.6127336977;0.5578704589;0.805962;0.6693155881;0.6873171364
"Avaré";0.5463255043;0.7292953635;0.9359021557;0.8692404701;0.6998694812;0.8303385686;0.859694;0.7571226931;0.770990066
"Bady Bassitt";0.5484759461;0.7190012792;0.9450407453;0.8355855448;0.680778684;0.9613012876;0.859894;0.7671242216;0.7797375368
"Balbinos";0.5325474013;0.6286680424;0.9012547908;0.1860296138;0.1508751502;0.1975459857;0.928957;0.3445475834;0.3969944256
"Bálsamo";0.5433091708;0.7200221704;0.9320637634;0.8156634886;0.667666701;0.9621384915;0.883501;0.7589115158;0.7755717581
"Bananal";0.5229367972;0.7037047557;0.9450473931;0.7349768379;0.6472020382;0.9104421254;0.863519;0.7294180819;0.7472179438
"Barão de Antonina";0.5137699102;0.6729775723;0.9142856416;0.6568715582;0.6234649702;0.9325593823;0.880109;0.7030238001;0.7259523073
