NomeMun;SiglaUF;DIVUR_N3;Latitude;Longitude
Acrelândia;AC;Rio Branco;-9,82;-66,88
Assis Brasil;AC;Rio Branco;-10,94;-69,56
Brasiléia;AC;Rio Branco;-11,01;-68,74
Bujari;AC;Rio Branco;-9,83;-67,95
Capixaba;AC;Rio Branco;-10,57;-67,67
Cruzeiro do Sul;AC;Cruzeiro do Sul;-7,63;-72,67
Epitaciolândia;AC;Rio Branco;-11,02;-68,74
Feijó;AC;Rio Branco;-8,16;-70,35
Jordão;AC;Rio Branco;-9,43;-71,88
Mâncio Lima;AC;Cruzeiro do Sul;-7,61;-72,89
Manoel Urbano;AC;Rio Branco;-8,83;-69,26
Marechal Thaumaturgo;AC;Cruzeiro do Sul;-8,94;-72,79
Plácido de Castro;AC;Rio Branco;-10,27;-67,15
Porto Walter;AC;Cruzeiro do Sul;-8,26;-72,74
Rio Branco;AC;Rio Branco;-9,97;-67,81
Rodrigues Alves;AC;Cruzeiro do Sul;-7,74;-72,64
Santa Rosa do Purus;AC;Rio Branco;-9,43;-70,49
Senador Guiomard;AC;Rio Branco;-10,15;-67,73
Sena Madureira;AC;Rio Branco;-9,06;-68,65
Tarauacá;AC;Rio Branco;-8,16;-70,76
Xapuri;AC;Rio Branco;-10,65;-68,5
Porto Acre;AC;Rio Branco;-9,58;-67,53
Água Branca;AL;Paulo Afonso;-9,26;-37,93
Anadia;AL;Maceió;-9,68;-36,3
Arapiraca;AL;Arapiraca;-9,75;-36,66
Atalaia;AL;Maceió;-9,5;-36,02
Barra de Santo Antônio;AL;Maceió;-9,4;-35,5
Barra de São Miguel;AL;Maceió;-9,84;-35,9
Batalha;AL;Arapiraca;-9,67;-37,12
Belém;AL;Palmeira dos Índios;-9,57;-36,49
Belo Monte;AL;Arapiraca;-9,82;-37,28
Boca da Mata;AL;Maceió;-9,64;-36,22
Branquinha;AL;União dos Palmares;-9,24;-36,01
Cacimbinhas;AL;Palmeira dos Índios;-9,4;-36,99
Cajueiro;AL;Maceió;-9,39;-36,15
Campestre;AL;Palmares;-8,84;-35,56
Campo Alegre;AL;Maceió;-9,78;-36,35
Campo Grande;AL;Arapiraca;-9,95;-36,79
Canapi;AL;Santana do Ipanema;-9,12;-37,6
Capela;AL;Maceió;-9,4;-36,07
Carneiros;AL;Santana do Ipanema;-9,48;-37,37
Chã Preta;AL;Maceió;-9,25;-36,29
Coité do Nóia;AL;Arapiraca;-9,63;-36,57
Colônia Leopoldina;AL;Palmares;-8,9;-35,72
Coqueiro Seco;AL;Maceió;-9,63;-35,8
Coruripe;AL;Maceió;-10,12;-36,17
Craíbas;AL;Arapiraca;-9,61;-36,76
Delmiro Gouveia;AL;Delmiro Gouveia;-9,38;-37,99
Dois Riachos;AL;Santana do Ipanema;-9,39;-37,1
Estrela de Alagoas;AL;Palmeira dos Índios;-9,39;-36,76
Feira Grande;AL;Arapiraca;-9,9;-36,67
Feliz Deserto;AL;Penedo;-10,29;-36,3
Flexeiras;AL;Maceió;-9,27;-35,71
Girau do Ponciano;AL;Arapiraca;-9,88;-36,82
Ibateguara;AL;Maceió;-8,97;-35,93
Igaci;AL;Arapiraca;-9,53;-36,63
Igreja Nova;AL;Penedo;-10,12;-36,66
Inhapi;AL;Santana do Ipanema;-9,21;-37,75
Jacaré dos Homens;AL;Arapiraca;-9,63;-37,2
Jacuípe;AL;Palmares;-8,84;-35,46
Japaratinga;AL;Maceió;-9,08;-35,25
Jaramataia;AL;Arapiraca;-9,65;-37
Jequiá da Praia;AL;Maceió;;
Joaquim Gomes;AL;Maceió;-9,13;-35,74
Jundiá;AL;Palmares;-8,93;-35,57
Junqueiro;AL;Arapiraca;-9,92;-36,47
Lagoa da Canoa;AL;Arapiraca;-9,83;-36,73
Limoeiro de Anadia;AL;Arapiraca;-9,74;-36,5
Maceió;AL;Maceió;-9,66;-35,73
Major Isidoro;AL;Arapiraca;-9,53;-36,98
Maragogi;AL;Maceió;-9,01;-35,22
Maravilha;AL;Santana do Ipanema;-9,23;-37,35
Marechal Deodoro;AL;Maceió;-9,71;-35,89
Maribondo;AL;Maceió;-9,57;-36,3
Mar Vermelho;AL;Maceió;-9,44;-36,38
Mata Grande;AL;Santana do Ipanema;-9,11;-37,73
Matriz de Camaragibe;AL;Maceió;-9,15;-35,53
Messias;AL;Maceió;-9,38;-35,84
Minador do Negrão;AL;Palmeira dos Índios;-9,3;-36,86
Monteirópolis;AL;Arapiraca;-9,6;-37,24
Murici;AL;Maceió;-9,3;-35,94
Novo Lino;AL;Palmares;-8,91;-35,64
Olho d'Água das Flores;AL;Arapiraca;-9,53;-37,29
Olho d'Água do Casado;AL;Delmiro Gouveia;-9,5;-37,83
Olho d'Água Grande;AL;Arapiraca;-10,05;-36,81
Olivença;AL;Santana do Ipanema;-9,51;-37,19
Ouro Branco;AL;Santana do Ipanema;-9,16;-37,35
Palestina;AL;Arapiraca;-9,67;-37,32
Palmeira dos Índios;AL;Palmeira dos Índios;-9,4;-36,62
Pão de Açúcar;AL;Arapiraca;-9,74;-37,43
Pariconha;AL;Delmiro Gouveia;-9,25;-38
Paripueira;AL;Maceió;-9,46;-35,55
Passo de Camaragibe;AL;Maceió;-9,23;-35,49
Paulo Jacinto;AL;Maceió;-9,36;-36,37
Penedo;AL;Penedo;-10,29;-36,58
Piaçabuçu;AL;Penedo;-10,4;-36,43
Pilar;AL;Maceió;-9,59;-35,95
Pindoba;AL;Maceió;-9,47;-36,29
Piranhas;AL;Delmiro Gouveia;-9,62;-37,75
Poço das Trincheiras;AL;Santana do Ipanema;-9,31;-37,28
Porto Calvo;AL;Maceió;-9,04;-35,39
Porto de Pedras;AL;Maceió;-9,15;-35,29
Porto Real do Colégio;AL;Arapiraca;-10,18;-36,84
Quebrangulo;AL;Palmeira dos Índios;-9,31;-36,47
Rio Largo;AL;Maceió;-9,47;-35,85
Roteiro;AL;São Miguel dos Campos;-9,83;-35,97
Santa Luzia do Norte;AL;Maceió;-9,6;-35,82
Santana do Ipanema;AL;Santana do Ipanema;-9,37;-37,24
Santana do Mundaú;AL;União dos Palmares;-9,16;-36,22
São Brás;AL;Arapiraca;-10,12;-36,9
São José da Laje;AL;Maceió;-9,01;-36,05
São José da Tapera;AL;Arapiraca;-9,55;-37,38
São Luís do Quitunde;AL;Maceió;-9,31;-35,56
São Miguel dos Campos;AL;São Miguel dos Campos;-9,78;-36,09
São Miguel dos Milagres;AL;Maceió;-9,26;-35,37
São Sebastião;AL;Arapiraca;-9,93;-36,55
Satuba;AL;Maceió;-9,56;-35,82
Senador Rui Palmeira;AL;Santana do Ipanema;-9,35;-37,5
Tanque d'Arca;AL;Arapiraca;-9,53;-36,43
Taquarana;AL;Arapiraca;-9,64;-36,49
Teotônio Vilela;AL;Arapiraca;-9,9;-36,35
Traipu;AL;Arapiraca;-9,97;-37
União dos Palmares;AL;União dos Palmares;-9,16;-36,03
Viçosa;AL;Maceió;-9,37;-36,24
Alvarães;AM;Tefé;-3,22;-64,8
Amaturá;AM;Tabatinga;-3,36;-68,19
Anamã;AM;Manaus;-3,58;-61,4
Anori;AM;Manaus;-3,77;-61,64
Apuí;AM;Manaus;-7,19;-59,89
Atalaia do Norte;AM;Tabatinga;-4,37;-70,19
Autazes;AM;Manaus;-3,58;-59,13
Barcelos;AM;Manaus;-0,97;-62,92
Barreirinha;AM;Parintins;-2,79;-57,07
Benjamin Constant;AM;Tabatinga;-4,38;-70,03
Beruri;AM;Manaus;-3,89;-61,37
Boa Vista do Ramos;AM;Parintins;-2,97;-57,59
Boca do Acre;AM;Rio Branco;-8,75;-67,39
Borba;AM;Manaus;-4,38;-59,59
Caapiranga;AM;Manaus;-3,32;-61,2
Canutama;AM;Porto Velho;-6,53;-64,38
Carauari;AM;Manaus;-4,88;-66,89
Careiro;AM;Manaus;-3,76;-60,36
Careiro da Várzea;AM;Manaus;-3,22;-59,82
Coari;AM;Manaus;-4,08;-63,14
Codajás;AM;Manaus;-3,83;-62,05
Eirunepé;AM;Manaus;-6,66;-69,87
Envira;AM;Manaus;-7,43;-70,02
Fonte Boa;AM;Tefé;-2,51;-66,09
Guajará;AM;Cruzeiro do Sul;-7,54;-72,58
Humaitá;AM;Porto Velho;-7,5;-63,02
Ipixuna;AM;Cruzeiro do Sul;-7,05;-71,69
Iranduba;AM;Manaus;-3,28;-60,18
Itacoatiara;AM;Itacoatiara;-3,14;-58,44
Itamarati;AM;Manaus;-6,42;-68,25
Itapiranga;AM;Itacoatiara;-2,74;-58,02
Japurá;AM;Tefé;-1,82;-66,59
Juruá;AM;Tefé;-3,48;-66,06
Jutaí;AM;Tefé;-2,74;-66,76
Lábrea;AM;Porto Velho;-7,25;-64,79
Manacapuru;AM;Manaus;-3,3;-60,62
Manaquiri;AM;Manaus;-3,42;-60,45
Manaus;AM;Manaus;-3,1;-60,02
Manicoré;AM;Manaus;-5,8;-61,3
Maraã;AM;Tefé;-1,85;-65,58
Maués;AM;Parintins;-3,38;-57,71
Nhamundá;AM;Parintins;-2,18;-56,71
Nova Olinda do Norte;AM;Manaus;-3,88;-59,09
Novo Airão;AM;Manaus;-2,62;-60,94
Novo Aripuanã;AM;Manaus;-5,12;-60,38
Parintins;AM;Parintins;-2,62;-56,73
Pauini;AM;Rio Branco;-7,71;-66,97
Presidente Figueiredo;AM;Manaus;-2,03;-60,02
Rio Preto da Eva;AM;Manaus;-2,69;-59,7
Santa Isabel do Rio Negro;AM;Manaus;-0,41;-65,01
Santo Antônio do Içá;AM;Tabatinga;-3,1;-67,94
São Gabriel da Cachoeira;AM;Manaus;-0,13;-67,08
São Paulo de Olivença;AM;Tabatinga;-3,37;-68,87
São Sebastião do Uatumã;AM;Itacoatiara;-2,57;-57,87
Silves;AM;Itacoatiara;-2,83;-58,2
Tabatinga;AM;Tabatinga;-4,25;-69,93
Tapauá;AM;Manaus;-5,62;-63,18
Tefé;AM;Tefé;-3,35;-64,71
Tonantins;AM;Tefé;-2,87;-67,8
Uarini;AM;Tefé;-2,99;-65,1
Urucará;AM;Itacoatiara;-2,53;-57,76
Urucurituba;AM;Itacoatiara;-3,13;-58,15
Serra do Navio;AP;Macapá;0,89;-52
Amapá;AP;Macapá;2,05;-50,79
Pedra Branca do Amapari;AP;Macapá;0,77;-51,94
Calçoene;AP;Macapá;2,49;-50,94
Cutias;AP;Macapá;0,98;-50,8
Ferreira Gomes;AP;Macapá;0,85;-51,18
Itaubal;AP;Macapá;0,71;-50,8
Laranjal do Jari;AP;Macapá;-1,12;-52
Macapá;AP;Macapá;0,03;-51,06
Mazagão;AP;Macapá;-0,11;-51,28
Oiapoque;AP;Macapá;3,84;-51,83
Porto Grande;AP;Macapá;0,71;-51,41
Pracuúba;AP;Macapá;1,74;-50,79
Santana;AP;Macapá;-0,05;-51,18
Tartarugalzinho;AP;Macapá;1,5;-50,91
Vitória do Jari;AP;Almeirim;-0,8;-52,45
Abaíra;BA;Brumado;-13,25;-41,66
Abaré;BA;Petrolina - Juazeiro;-8,72;-39,11
Acajutiba;BA;Alagoinhas;-11,66;-38,01
Adustina;BA;Aracaju;-10,53;-38,1
Água Fria;BA;Feira de Santana;-11,86;-38,76
Érico Cardoso;BA;Brumado;-13,41;-42,14
Aiquara;BA;Jequié;-14,12;-39,88
Alagoinhas;BA;Alagoinhas;-12,13;-38,41
Alcobaça;BA;Teixeira de Freitas;-17,51;-39,19
Almadina;BA;Ilhéus - Itabuna;-14,7;-39,63
Amargosa;BA;Santo Antônio de Jesus;-13,03;-39,6
Amélia Rodrigues;BA;Salvador;-12,39;-38,75
América Dourada;BA;Irecê;-11,45;-41,43
Anagé;BA;Vitória da Conquista;-14,61;-41,13
Andaraí;BA;Itaberaba;-12,8;-41,33
Andorinha;BA;Senhor do Bonfim;-10,34;-39,83
Angical;BA;Barreiras;-12;-44,69
Anguera;BA;Feira de Santana;-12,15;-39,24
Antas;BA;Ribeira do Pombal;-10,4;-38,33
Antônio Cardoso;BA;Feira de Santana;-12,43;-39,12
Antônio Gonçalves;BA;Senhor do Bonfim;-10,57;-40,27
Aporá;BA;Alagoinhas;-11,66;-38,08
Apuarema;BA;Jequié;-13,85;-39,74
Aracatu;BA;Vitória da Conquista;-14,42;-41,46
Araças;BA;Alagoinhas;-12,22;-38,2
Araci;BA;Serrinha;-11,33;-38,96
Aramari;BA;Alagoinhas;-12,08;-38,49
Arataca;BA;Ilhéus - Itabuna;-15,26;-39,41
Aratuípe;BA;Salvador;-13,07;-39
Aurelino Leal;BA;Ilhéus - Itabuna;-14,31;-39,32
Baianópolis;BA;Barreiras;-12,3;-44,53
Baixa Grande;BA;Feira de Santana;-11,96;-40,16
Banzaê;BA;Ribeira do Pombal;-10,57;-38,61
Barra;BA;Xique-Xique;-11,08;-43,14
Barra da Estiva;BA;Vitória da Conquista;-13,62;-41,32
Barra do Choça;BA;Vitória da Conquista;-14,88;-40,57
Barra do Mendes;BA;Irecê;-11,81;-42,05
Barra do Rocha;BA;Ipiaú;-14,21;-39,6
Barreiras;BA;Barreiras;-12,15;-44,99
Barro Alto;BA;Irecê;-11,76;-41,91
Barrocas;BA;Serrinha;;
Barro Preto;BA;Ilhéus - Itabuna;-14,81;-39,47
Belmonte;BA;Porto Seguro;-15,86;-38,88
Belo Campo;BA;Vitória da Conquista;-15,03;-41,26
Biritinga;BA;Serrinha;-11,61;-38,8
Boa Nova;BA;Vitória da Conquista;-14,36;-40,2
Boa Vista do Tupim;BA;Itaberaba;-12,66;-40,6
Bom Jesus da Lapa;BA;Bom Jesus da Lapa;-13,25;-43,41
Bom Jesus da Serra;BA;Vitória da Conquista;-14,37;-40,5
Boninal;BA;Seabra;-12,7;-41,82
Bonito;BA;Irecê;-11,96;-41,26
Boquira;BA;Macaúbas;-12,82;-42,73
Botuporã;BA;Guanambi;-13,38;-42,52
Brejões;BA;Santo Antônio de Jesus;-13,1;-39,79
Brejolândia;BA;Barreiras;-12,48;-43,96
Brotas de Macaúbas;BA;Ibotirama;-11,99;-42,62
Brumado;BA;Brumado;-14,2;-41,66
Buerarema;BA;Ilhéus - Itabuna;-14,95;-39,3
Buritirama;BA;Xique-Xique;-10,7;-43,63
Caatiba;BA;Vitória da Conquista;-14,97;-40,4
Cabaceiras do Paraguaçu;BA;Cruz das Almas;-12,53;-39,19
Cachoeira;BA;Feira de Santana;-12,61;-38,95
Caculé;BA;Guanambi;-14,5;-42,22
Caém;BA;Jacobina;-11,09;-40,43
Caetanos;BA;Vitória da Conquista;-14,33;-40,91
Caetité;BA;Guanambi;-14,06;-42,47
Cafarnaum;BA;Irecê;-11,69;-41,46
Cairu;BA;Valença;-13,48;-39,04
Caldeirão Grande;BA;Jacobina;-11,02;-40,3
Camacan;BA;Camacan;-15,41;-39,49
Camaçari;BA;Salvador;-12,69;-38,32
Camamu;BA;Valença;-13,94;-39,1
Campo Alegre de Lourdes;BA;Petrolina - Juazeiro;-9,51;-43,01
Campo Formoso;BA;Senhor do Bonfim;-10,5;-40,32
Canápolis;BA;Santa Maria da Vitória;-13,07;-44,2
Canarana;BA;Irecê;-11,68;-41,76
Canavieiras;BA;Ilhéus - Itabuna;-15,67;-38,94
Candeal;BA;Feira de Santana;-11,8;-39,11
Candeias;BA;Salvador;-12,66;-38,55
Candiba;BA;Guanambi;-14,41;-42,86
Cândido Sales;BA;Vitória da Conquista;-15,5;-41,23
Cansanção;BA;Ribeira do Pombal;-10,67;-39,49
Canudos;BA;Ribeira do Pombal;-9,9;-39,13
Capela do Alto Alegre;BA;Feira de Santana;-11,66;-39,83
Capim Grosso;BA;Jacobina;-11,38;-40,01
Caraíbas;BA;Vitória da Conquista;-14,6;-41,33
Caravelas;BA;Teixeira de Freitas;-17,73;-39,26
Cardeal da Silva;BA;Alagoinhas;-11,94;-37,94
Carinhanha;BA;Guanambi;-14,3;-43,76
Casa Nova;BA;Petrolina - Juazeiro;-9,16;-40,97
Castro Alves;BA;Feira de Santana;-12,76;-39,42
Catolândia;BA;Barreiras;-12,31;-44,86
Catu;BA;Salvador;-12,35;-38,37
Caturama;BA;Brumado;-13,32;-42,29
Central;BA;Irecê;-11,13;-42,11
Chorrochó;BA;Paulo Afonso;-8,98;-39,09
Cícero Dantas;BA;Aracaju;-10,6;-38,38
Cipó;BA;Ribeira do Pombal;-11,1;-38,51
Coaraci;BA;Ilhéus - Itabuna;-14,64;-39,55
Cocos;BA;Santa Maria da Vitória;-14,18;-44,53
Conceição da Feira;BA;Feira de Santana;-12,5;-38,99
Conceição do Almeida;BA;Cruz das Almas;-12,8;-39,16
Conceição do Coité;BA;Conceição do Coité;-11,56;-39,28
Conceição do Jacuípe;BA;Feira de Santana;-12,42;-38,72
Conde;BA;Salvador;-11,81;-37,61
Condeúba;BA;Vitória da Conquista;-14,89;-41,96
Contendas do Sincorá;BA;Vitória da Conquista;-13,76;-41,04
Coração de Maria;BA;Feira de Santana;-12,23;-38,75
Cordeiros;BA;Vitória da Conquista;-15,03;-41,93
Coribe;BA;Santa Maria da Vitória;-13,82;-44,45
Coronel João Sá;BA;Aracaju;-10,28;-37,92
Correntina;BA;Santa Maria da Vitória;-13,34;-44,63
Cotegipe;BA;Barreiras;-12,02;-44,25
Cravolândia;BA;Jequié;-13,35;-39,81
Crisópolis;BA;Alagoinhas;-11,51;-38,15
Cristópolis;BA;Barreiras;-12,23;-44,42
Cruz das Almas;BA;Cruz das Almas;-12,67;-39,1
Curaçá;BA;Petrolina - Juazeiro;-8,99;-39,9
Dário Meira;BA;Ipiaú;-14,43;-39,9
Dias d'Ávila;BA;Salvador;-12,61;-38,29
Dom Basílio;BA;Brumado;-13,76;-41,77
Dom Macedo Costa;BA;Santo Antônio de Jesus;-12,9;-39,19
Elísio Medrado;BA;Santo Antônio de Jesus;-12,94;-39,52
Encruzilhada;BA;Vitória da Conquista;-15,53;-40,9
Entre Rios;BA;Alagoinhas;-11,94;-38,08
Esplanada;BA;Alagoinhas;-11,79;-37,94
Euclides da Cunha;BA;Ribeira do Pombal;-10,5;-39,01
Eunápolis;BA;Eunápolis;-16,37;-39,58
Fátima;BA;Aracaju;-10,6;-38,21
Feira da Mata;BA;Guanambi;-14,2;-44,28
Feira de Santana;BA;Feira de Santana;-12,26;-38,96
Filadélfia;BA;Senhor do Bonfim;-10,74;-40,13
Firmino Alves;BA;Ilhéus - Itabuna;-14,98;-39,92
Floresta Azul;BA;Ilhéus - Itabuna;-14,86;-39,66
Formosa do Rio Preto;BA;Barreiras;-11,04;-45,19
Gandu;BA;Gandu;-13,74;-39,48
Gavião;BA;Jacobina;-11,47;-39,78
Gentio do Ouro;BA;Xique-Xique;-11,42;-42,5
Glória;BA;Paulo Afonso;-9,33;-38,25
Gongogi;BA;Ipiaú;-14,32;-39,46
Governador Mangabeira;BA;Cruz das Almas;-12,6;-39,04
Guajeru;BA;Vitória da Conquista;-14,54;-41,94
Guanambi;BA;Guanambi;-14,22;-42,78
Guaratinga;BA;Eunápolis;-16,58;-39,78
Heliópolis;BA;Aracaju;-10,68;-38,28
Iaçu;BA;Itaberaba;-12,76;-40,21
Ibiassucê;BA;Guanambi;-14,25;-42,25
Ibicaraí;BA;Ilhéus - Itabuna;-14,86;-39,58
Ibicoara;BA;Vitória da Conquista;-13,41;-41,28
Ibicuí;BA;Ilhéus - Itabuna;-14,84;-39,98
Ibipeba;BA;Irecê;-11,64;-42,01
Ibipitanga;BA;Macaúbas;-12,88;-42,48
Ibiquera;BA;Itaberaba;-12,65;-40,93
Ibirapitanga;BA;Ilhéus - Itabuna;-14,16;-39,37
Ibirapuã;BA;Teixeira de Freitas;-17,68;-40,1
Ibirataia;BA;Ipiaú;-14,06;-39,64
Ibitiara;BA;Seabra;-12,65;-42,21
Ibititá;BA;Irecê;-11,54;-41,97
Ibotirama;BA;Ibotirama;-12,18;-43,22
Ichu;BA;Feira de Santana;-11,74;-39,19
Igaporã;BA;Guanambi;-13,77;-42,71
Igrapiúna;BA;Valença;-13,82;-39,14
Iguaí;BA;Vitória da Conquista;-14,75;-40,08
Ilhéus;BA;Ilhéus - Itabuna;-14,78;-39,04
Inhambupe;BA;Alagoinhas;-11,78;-38,35
Ipecaetá;BA;Feira de Santana;-12,3;-39,3
Ipiaú;BA;Ipiaú;-14,13;-39,73
Ipirá;BA;Feira de Santana;-12,15;-39,73
Ipupiara;BA;Ibotirama;-11,82;-42,61
Irajuba;BA;Jequié;-13,25;-40,08
Iramaia;BA;Vitória da Conquista;-13,28;-40,95
Iraquara;BA;Seabra;-12,24;-41,61
Irará;BA;Feira de Santana;-12,05;-38,76
Irecê;BA;Irecê;-11,3;-41,85
Itabela;BA;Eunápolis;-16,57;-39,55
Itaberaba;BA;Itaberaba;-12,52;-40,3
Itabuna;BA;Ilhéus - Itabuna;-14,78;-39,28
Itacaré;BA;Ilhéus - Itabuna;-14,27;-38,99
Itaeté;BA;Itaberaba;-12,98;-40,97
Itagi;BA;Jequié;-14,16;-40
Itagibá;BA;Ipiaú;-14,28;-39,84
Itagimirim;BA;Eunápolis;-16,08;-39,61
Itaguaçu da Bahia;BA;Irecê;-11,01;-42,39
Itaju do Colônia;BA;Ilhéus - Itabuna;-15,14;-39,72
Itajuípe;BA;Ilhéus - Itabuna;-14,67;-39,37
Itamaraju;BA;Itamaraju;-17,03;-39,53
Itamari;BA;Jequié;-13,77;-39,68
Itambé;BA;Vitória da Conquista;-15,24;-40,62
Itanagra;BA;Salvador;-12,26;-38,04
Itanhém;BA;Teixeira de Freitas;-17,16;-40,33
Itaparica;BA;Salvador;-12,88;-38,67
Itapé;BA;Ilhéus - Itabuna;-14,89;-39,42
Itapebi;BA;Eunápolis;-15,95;-39,53
Itapetinga;BA;Itapetinga;-15,24;-40,24
Itapicuru;BA;Alagoinhas;-11,31;-38,23
Itapitanga;BA;Ilhéus - Itabuna;-14,42;-39,56
Itaquara;BA;Jequié;-13,45;-39,94
Itarantim;BA;Itapetinga;-15,66;-40,06
Itatim;BA;Feira de Santana;-12,71;-39,69
Itiruçu;BA;Jequié;-13,53;-40,15
Itiúba;BA;Senhor do Bonfim;-10,69;-39,85
Itororó;BA;Ilhéus - Itabuna;-15,11;-40,07
Ituaçu;BA;Vitória da Conquista;-13,81;-41,29
Ituberá;BA;Valença;-13,73;-39,14
Iuiú;BA;Guanambi;-14,41;-43,55
Jaborandi;BA;Santa Maria da Vitória;-13,61;-44,43
Jacaraci;BA;Guanambi;-14,85;-42,43
Jacobina;BA;Jacobina;-11,18;-40,51
Jaguaquara;BA;Jequié;-13,53;-39,97
Jaguarari;BA;Senhor do Bonfim;-10,26;-40,19
Jaguaripe;BA;Salvador;-13,11;-38,89
Jandaíra;BA;Alagoinhas;-11,56;-37,78
Jequié;BA;Jequié;-13,85;-40,08
Jeremoabo;BA;Paulo Afonso;-10,06;-38,35
Jiquiriçá;BA;Santo Antônio de Jesus;-13,25;-39,57
Jitaúna;BA;Jequié;-14,01;-39,88
João Dourado;BA;Irecê;-11,35;-41,66
Juazeiro;BA;Petrolina - Juazeiro;-9,41;-40,5
Jucuruçu;BA;Teixeira de Freitas;-16,84;-40,15
Jussara;BA;Irecê;-11,04;-41,96
Jussari;BA;Ilhéus - Itabuna;-15,19;-39,49
Jussiape;BA;Brumado;-13,51;-41,59
Lafaiete Coutinho;BA;Jequié;-13,65;-40,21
Lagoa Real;BA;Guanambi;-14,03;-42,14
Laje;BA;Santo Antônio de Jesus;-13,18;-39,42
Lajedão;BA;Teixeira de Freitas;-17,61;-40,34
Lajedinho;BA;Itaberaba;-12,35;-40,9
Lajedo do Tabocal;BA;Jequié;-13,47;-40,22
Lamarão;BA;Feira de Santana;-11,78;-38,9
Lapão;BA;Irecê;-11,38;-41,83
Lauro de Freitas;BA;Salvador;-12,89;-38,32
Lençóis;BA;Seabra;-12,56;-41,39
Licínio de Almeida;BA;Guanambi;-14,68;-42,5
Livramento de Nossa Senhora;BA;Brumado;;
Luís Eduardo Magalhães;BA;Barreiras;;
Macajuba;BA;Feira de Santana;-12,13;-40,36
Macarani;BA;Itapetinga;-15,56;-40,42
Macaúbas;BA;Macaúbas;-13,01;-42,69
Macururé;BA;Paulo Afonso;-9,16;-39,05
Madre de Deus;BA;Salvador;-12,74;-38,62
Maetinga;BA;Vitória da Conquista;-14,66;-41,49
Maiquinique;BA;Itapetinga;-15,62;-40,26
Mairi;BA;Feira de Santana;-11,71;-40,14
Malhada;BA;Guanambi;-14,33;-43,77
Malhada de Pedras;BA;Brumado;-14,38;-41,87
Manoel Vitorino;BA;Jequié;-14,14;-40,24
Mansidão;BA;Barreiras;-10,71;-44,03
Maracás;BA;Jequié;-13,44;-40,43
Maragogipe;BA;Salvador;-12,77;-38,91
Maraú;BA;Ilhéus - Itabuna;-14,1;-39,01
Marcionílio Souza;BA;Itaberaba;-13;-40,53
Mascote;BA;Ilhéus - Itabuna;-15,56;-39,3
Mata de São João;BA;Salvador;-12,53;-38,29
Matina;BA;Guanambi;-13,9;-42,84
Medeiros Neto;BA;Teixeira de Freitas;-17,37;-40,22
Miguel Calmon;BA;Jacobina;-11,42;-40,59
Milagres;BA;Feira de Santana;-12,87;-39,85
Mirangaba;BA;Jacobina;-10,95;-40,57
Mirante;BA;Vitória da Conquista;-14,24;-40,77
Monte Santo;BA;Ribeira do Pombal;-10,43;-39,33
Morpará;BA;Ibotirama;-11,55;-43,28
Morro do Chapéu;BA;Irecê;-11,55;-41,15
Mortugaba;BA;Guanambi;-15,02;-42,36
Mucugê;BA;Seabra;-13;-41,37
Mucuri;BA;Teixeira de Freitas;-18,08;-39,55
Mulungu do Morro;BA;Irecê;-11,96;-41,63
Mundo Novo;BA;Feira de Santana;-11,85;-40,47
Muniz Ferreira;BA;Santo Antônio de Jesus;-13;-39,11
Muquém de São Francisco;BA;Ibotirama;-12,06;-43,54
Muritiba;BA;Cruz das Almas;-12,62;-38,99
Mutuípe;BA;Santo Antônio de Jesus;-13,22;-39,5
Nazaré;BA;Salvador;-13,03;-39,01
Nilo Peçanha;BA;Valença;-13,59;-39,1
Nordestina;BA;Conceição do Coité;-10,82;-39,42
Nova Canaã;BA;Vitória da Conquista;-14,79;-40,14
Nova Fátima;BA;Feira de Santana;-11,6;-39,63
Nova Ibiá;BA;Gandu;-13,81;-39,62
Nova Itarana;BA;Feira de Santana;-13,02;-40,06
Nova Redenção;BA;Itaberaba;-12,81;-41,07
Nova Soure;BA;Ribeira do Pombal;-11,23;-38,48
Nova Viçosa;BA;Teixeira de Freitas;-17,89;-39,37
Novo Horizonte;BA;Seabra;-12,8;-42,16
Novo Triunfo;BA;Ribeira do Pombal;-10,31;-38,4
Olindina;BA;Ribeira do Pombal;-11,36;-38,33
Oliveira dos Brejinhos;BA;Macaúbas;-12,31;-42,89
Ouriçangas;BA;Feira de Santana;-12,01;-38,61
Ourolândia;BA;Jacobina;-10,97;-41,08
Palmas de Monte Alto;BA;Guanambi;-14,26;-43,16
Palmeiras;BA;Seabra;-12,52;-41,55
Paramirim;BA;Brumado;-13,44;-42,23
Paratinga;BA;Bom Jesus da Lapa;-12,69;-43,18
Paripiranga;BA;Aracaju;-10,68;-37,86
Pau Brasil;BA;Ilhéus - Itabuna;-15,46;-39,65
Paulo Afonso;BA;Paulo Afonso;-9,4;-38,22
Pé de Serra;BA;Feira de Santana;-11,83;-39,61
Pedrão;BA;Alagoinhas;-12,15;-38,65
Pedro Alexandre;BA;Aracaju;-10,01;-37,89
Piatã;BA;Seabra;-13,15;-41,77
Pilão Arcado;BA;Petrolina - Juazeiro;-10;-42,5
Pindaí;BA;Guanambi;-14,49;-42,68
Pindobaçu;BA;Senhor do Bonfim;-10,74;-40,36
Pintadas;BA;Feira de Santana;-11,81;-39,9
Piraí do Norte;BA;Gandu;-13,76;-39,37
