AM;Manicoré;48373;51331;52200
AM;Maraã;17596;18310;18367
AM;Maués;54079;57663;58834
AM;Nhamundá;18720;19792;20078
AM;Nova Olinda do Norte;31749;33829;34498
AM;Novo Airão;15489;16719;17199
AM;Novo Aripuanã;22106;23486;23905
AM;Parintins;103828;109225;110411
AM;Pauini;18329;19149;19265
AM;Presidente Figueiredo;28652;30978;31903
AM;Rio Preto da Eva;26948;28999;29771
AM;Santa Isabel do Rio Negro;19292;20986;21702
AM;Santo Antônio do Içá;24890;24327;24005
AM;São Gabriel da Cachoeira;39097;41575;42342
AM;São Paulo de Olivença;32677;34963;35757
AM;São Sebastião do Uatumã;11241;12115;12451
AM;Silves;8544;8946;9014
AM;Tabatinga;54440;58314;59684
AM;Tapauá;17903;18383;18266
AM;Tefé;61000;62885;62662
AM;Tonantins;17316;18162;18322
AM;Uarini;12139;12801;12963
AM;Urucará;16902;17367;17264
AM;Urucurituba;18679;20091;20621
AP;Amapá;8213;8483;8553
AP;Calçoene;9343;9793;9979
AP;Cutias;4910;5173;5291
AP;Ferreira Gomes;6141;6525;6714
AP;Itaubal;4473;4722;4836
AP;Laranjal do Jari;41668;43832;44777
AP;Macapá;415554;437256;446757
AP;Mazagão;17794;18739;19157
AP;Oiapoque;21661;22986;23628
AP;Pedra Branca do Amapari;11794;12828;13411
AP;Porto Grande;17680;18708;19191
AP;Pracuúba;4021;4277;4404
AP;Santana;104407;108897;110565
AP;Serra do Navio;4545;4761;4850
AP;Tartarugalzinho;13385;14292;14754
AP;Vitória do Jari;13013;13724;14045
BA;Abaíra;8659;9132;9243
BA;Abaré;17685;18989;19290
BA;Acajutiba;14730;15615;15668
BA;Adustina;15914;16929;17044
BA;Água Fria;15884;16871;16959
BA;Aiquara;4536;4767;4790
BA;Alagoinhas;143460;152570;153560
BA;Alcobaça;21328;23176;23231
BA;Almadina;6130;6327;6234
BA;Amargosa;34845;37081;37557
BA;Amélia Rodrigues;25080;26477;26458
BA;América Dourada;15962;16884;16904
BA;Anagé;19889;20698;20388
BA;Andaraí;13942;14738;13716
BA;Andorinha;14209;14936;14862
BA;Angical;13992;14762;14742
BA;Anguera;10427;11113;11209
BA;Antas;17526;18744;18970
BA;Antônio Cardoso;11545;12206;12216
BA;Antônio Gonçalves;11229;11973;12083
BA;Aporá;17877;18976;19063
BA;Apuarema;7397;7795;7780
BA;Araças;11642;12351;12402
BA;Aracatu;13542;14232;14158
BA;Araci;52325;55655;56023
BA;Aramari;10483;11157;11237
BA;Arataca;10307;11822;11779
BA;Aratuípe;8632;9146;9104
BA;Aurelino Leal;13059;13525;13301
BA;Baianópolis;13420;13892;14126
BA;Baixa Grande;20031;21174;21186
BA;Banzaê;11840;12534;12560
BA;Barra;50134;53361;53786
BA;Barra da Estiva;20767;22409;22566
BA;Barra do Choça;35501;35567;35200
BA;Barra do Mendes;13914;14684;14540
BA;Barra do Rocha;6038;6261;6518
BA;Barreiras;141081;150896;152208
BA;Barro Alto;13914;14855;15230
BA;Barro Preto;6122;6767;6627
BA;Barrocas;14495;15470;15624
BA;Belmonte;22067;23471;23620
BA;Belo Campo;17625;18539;18459
BA;Biritinga;14866;15737;15769
BA;Boa Nova;14620;15141;14861
BA;Boa Vista do Tupim;17898;18888;18677
BA;Bom Jesus da Lapa;64740;68282;68922
BA;Bom Jesus da Serra;10120;10644;10597
BA;Boninal;13893;14742;14490
BA;Bonito;15126;16132;16730
BA;Boquira;22025;22389;22409
BA;Botuporã;10950;11162;11089
BA;Brejões;14123;14866;15265
BA;Brejolândia;11247;10545;10624
BA;Brotas de Macaúbas;10479;11301;11158
BA;Brumado;64972;68776;69022
BA;Buerarema;18528;19311;19297
BA;Buritirama;19853;21115;21418
BA;Caatiba;10576;10828;10486
BA;Cabaceiras do Paraguaçu;17582;18713;18850
BA;Cachoeira;32270;34244;34394
BA;Caculé;22577;23232;23392
