UF;NOME_CIDADE;2015
AC;Acrelândia;13869
AC;Assis Brasil;6738
AC;Brasiléia;23849
AC;Bujari;9339
AC;Capixaba;10498
AC;Cruzeiro do Sul;81519
AC;Epitaciolândia;16731
AC;Feijó;32385
AC;Jordão;7509
AC;Mâncio Lima;17173
AC;Manoel Urbano;8641
AC;Marechal Thaumaturgo;16895
AC;Plácido de Castro;18159
AC;Porto Acre;16757
AC;Porto Walter;10759
AC;Rio Branco;370550
AC;Rodrigues Alves;16974
AC;Santa Rosa do Purus;5809
AC;Sena Madureira;41750
AC;Senador Guiomard;21182
AC;Tarauacá;38819
AC;Xapuri;17608
AL;Água Branca;20434
AL;Anadia;17847
AL;Arapiraca;231053
AL;Atalaia;47298
AL;Barra de Santo Antônio;15742
AL;Barra de São Miguel;8266
AL;Batalha;18496
AL;Belém;4585
AL;Belo Monte;6775
AL;Boca da Mata;27399
AL;Branquinha;10745
AL;Cacimbinhas;10818
AL;Cajueiro;21355
AL;Campestre;6978
AL;Campo Alegre;56430
AL;Campo Grande;9664
AL;Canapi;17976
AL;Capela;17507
AL;Carneiros;8969
AL;Chã Preta;7421
AL;Coité do Nóia;10992
AL;Colônia Leopoldina;21636
AL;Coqueiro Seco;5870
AL;Coruripe;56631
AL;Craíbas;24288
AL;Delmiro Gouveia;51997
AL;Dois Riachos;11224
AL;Estrela de Alagoas;18306
AL;Feira Grande;22432
AL;Feliz Deserto;4746
AL;Flexeiras;12917
AL;Girau do Ponciano;40519
AL;Ibateguara;15803
AL;Igaci;26041
AL;Igreja Nova;24575
AL;Inhapi;18621
AL;Jacaré dos Homens;5429
AL;Jacuípe;7162
AL;Japaratinga;8350
AL;Jaramataia;5695
AL;Jequiá da Praia;11869
AL;Joaquim Gomes;24061
AL;Jundiá;4269
AL;Junqueiro;25084
AL;Lagoa da Canoa;18343
AL;Limoeiro de Anadia;28621
AL;Maceió;1013773
AL;Major Isidoro;20047
AL;Mar Vermelho;3622
AL;Maragogi;32171
AL;Maravilha;9770
AL;Marechal Deodoro;51132
AL;Maribondo;13665
AL;Mata Grande;25590
AL;Matriz de Camaragibe;25008
AL;Messias;17576
AL;Minador do Negrão;5425
AL;Monteirópolis;7241
AL;Murici;28335
AL;Novo Lino;12643
AL;Olho d'Água das Flores;21641
AL;Olho d'Água do Casado;9298
AL;Olho d'Água Grande;5178
AL;Olivença;11688
AL;Ouro Branco;11537
AL;Palestina;5004
AL;Palmeira dos Índios;73878
AL;Pão de Açúcar;24878
AL;Pariconha;10601
AL;Paripueira;12887
AL;Passo de Camaragibe;15419
AL;Paulo Jacinto;7682
AL;Penedo;64074
AL;Piaçabuçu;18011
AL;Pilar;35295
AL;Pindoba;2956
AL;Piranhas;24950
AL;Poço das Trincheiras;14493
AL;Porto Calvo;27288
AL;Porto de Pedras;8151
AL;Porto Real do Colégio;20205
AL;Quebrangulo;11592
AL;Rio Largo;75645
AL;Roteiro;6803
AL;Santa Luzia do Norte;7325
AL;Santana do Ipanema;47820
AL;Santana do Mundaú;11009
AL;São Brás;7034
AL;São José da Laje;24048
AL;São José da Tapera;32271
AL;São Luís do Quitunde;34623
AL;São Miguel dos Campos;60539
